timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600078545385,664,find flight,200,"Number of samples in transaction : 2, number of failing samples : 0",blaze demo 1-3,,true,,9902,844,5,5,null,0,0,0
1600078545385,403,/reserve.php-30,200,OK,blaze demo 1-3,text,true,,1376,532,5,5,https://blazedemo.com/reserve.php,395,0,0
1600078545788,261,/assets/bootstrap.min.js-31,200,OK,blaze demo 1-3,text,true,,8526,312,5,5,https://blazedemo.com/assets/bootstrap.min.js,238,0,0
1600078544741,1353,find flight,200,"Number of samples in transaction : 2, number of failing samples : 0",blaze demo 1-2,,true,,9571,832,5,5,null,0,0,0
1600078544741,1102,/reserve.php-30,200,OK,blaze demo 1-2,text,true,,1362,520,5,5,https://blazedemo.com/reserve.php,1102,0,0
1600078545843,251,/assets/bootstrap.min.js-31,200,OK,blaze demo 1-2,text,true,,8209,312,5,5,https://blazedemo.com/assets/bootstrap.min.js,235,0,0
1600078545607,487,purchase fligt,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 3, number of failing samples : 1",blaze demo 1-4,,false,,3943,1069,5,5,null,0,1,0
1600078545607,109,/url/status-34,200,OK,blaze demo 1-4,text,true,,376,414,5,5,https://nimbus.bitdefender.net/url/status,109,0,0
1600078545717,378,/confirmation.php-35,200,OK,blaze demo 1-4,text,true,,1470,655,5,5,https://blazedemo.com/confirmation.php,371,0,0
1600078546095,0,/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml-36,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: aus5.mozilla.org,blaze demo 1-4,text,false,,2097,0,5,5,https://aus5.mozilla.org/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml,0,0,0
1600078546017,559,purchase fligt,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 3, number of failing samples : 1",blaze demo 1-5,,false,,4034,1069,4,4,null,0,0,0
1600078546017,110,/url/status-34,200,OK,blaze demo 1-5,text,true,,376,414,4,4,https://nimbus.bitdefender.net/url/status,110,0,0
1600078546127,449,/confirmation.php-35,200,OK,blaze demo 1-5,text,true,,1561,655,4,4,https://blazedemo.com/confirmation.php,445,0,0
1600078546576,0,/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml-36,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: aus5.mozilla.org,blaze demo 1-5,text,false,,2097,0,4,4,https://aus5.mozilla.org/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml,0,0,0
1600078546013,579,purchase fligt,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 3, number of failing samples : 1",blaze demo 1-1,,false,,3830,1069,3,3,null,0,1,1
1600078546013,110,/url/status-34,200,OK,blaze demo 1-1,text,true,,376,414,4,4,https://nimbus.bitdefender.net/url/status,110,0,0
1600078546124,468,/confirmation.php-35,200,OK,blaze demo 1-1,text,true,,1357,655,3,3,https://blazedemo.com/confirmation.php,461,0,0
1600078546592,1,/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml-36,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: aus5.mozilla.org,blaze demo 1-1,text,false,,2097,0,3,3,https://aus5.mozilla.org/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml,0,0,1
1600078546049,577,choose this flight,200,"Number of samples in transaction : 2, number of failing samples : 0",blaze demo 1-3,,true,,2105,993,2,2,null,0,2,0
1600078546050,108,/url/status-32,200,OK,blaze demo 1-3,text,true,,376,410,4,4,https://nimbus.bitdefender.net/url/status,108,0,0
1600078546159,469,/purchase.php-33,200,OK,blaze demo 1-3,text,true,,1729,583,2,2,https://blazedemo.com/purchase.php,462,0,0
1600078546628,488,purchase fligt,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 3, number of failing samples : 1",blaze demo 1-3,,false,,3969,1069,2,2,null,0,2,0
1600078546629,108,/url/status-34,200,OK,blaze demo 1-3,text,true,,376,414,2,2,https://nimbus.bitdefender.net/url/status,108,0,0
1600078546737,380,/confirmation.php-35,200,OK,blaze demo 1-3,text,true,,1496,655,2,2,https://blazedemo.com/confirmation.php,374,0,0
1600078547118,0,/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml-36,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: aus5.mozilla.org,blaze demo 1-3,text,false,,2097,0,2,2,https://aus5.mozilla.org/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml,0,0,0
1600078546094,1060,choose this flight,200,"Number of samples in transaction : 2, number of failing samples : 0",blaze demo 1-2,,true,,1968,993,1,1,null,0,0,0
1600078546094,108,/url/status-32,200,OK,blaze demo 1-2,text,true,,376,410,4,4,https://nimbus.bitdefender.net/url/status,108,0,0
1600078546202,952,/purchase.php-33,200,OK,blaze demo 1-2,text,true,,1592,583,1,1,https://blazedemo.com/purchase.php,951,0,0
1600078547154,482,purchase fligt,Non HTTP response code: java.net.UnknownHostException,"Number of samples in transaction : 3, number of failing samples : 1",blaze demo 1-2,,false,,3837,1069,1,1,null,0,0,0
1600078547154,116,/url/status-34,200,OK,blaze demo 1-2,text,true,,376,414,1,1,https://nimbus.bitdefender.net/url/status,116,0,0
1600078547270,366,/confirmation.php-35,200,OK,blaze demo 1-2,text,true,,1364,655,1,1,https://blazedemo.com/confirmation.php,365,0,0
1600078547636,0,/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml-36,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: aus5.mozilla.org,blaze demo 1-2,text,false,,2097,0,1,1,https://aus5.mozilla.org/update/3/GMP/80.0.1/20200831163820/WINNT_x86_64-msvc-x64/en-US/release/Windows_NT%2010.0.0.0.19041.450%20(x64)/default/default/update.xml,0,0,0
